Name,Occupation,Gender,MaleScore,FemaleScore,NonBinaryScore,Gender + hand codes,
Kathryn Schulz,Wrongologist,female,0,7,0,female,
Kavita Ramdas,Philanthropist,female,0,2,1,female,
Kelli Swazey,Anthropologist,female,3,8,0,female,
Kelly McGonigal,Health psychologist,female,0,2,0,female,
Keren Elazari,Cybersecurity expert,female,0,3,1,female,
Khadija Gbla,Cross-cultural consultant,female,0,14,2,female,
Kimberley Motley,International litigator,female,0,12,1,female,
Kiran Bedi,Corrections pioneer,female,0,12,0,female,
Kiran Sethi,Educator,female,0,3,0,female,
Krista Tippett,Journalist,female,0,10,0,female,
Kristen Ashburn,Photographer,female,0,5,0,female,
Kristen Marhaver,Coral reef biologist,female,0,6,0,female,
Kristina Gjerde,High seas policy advisor,female,0,3,1,female,
Lakshmi Pratury,Connector,female,0,11,1,female,
LaToya Ruby Frazier,Photographer,female,0,17,0,female,
Laura Boushnak,Photographer,female,0,2,1,female,
Laura Carstensen,Psychologist,female,0,3,0,female,
Laura Schulz,Cognitive scientist,female,0,2,1,female,
Laura Snyder,Science historian,female,0,1,1,female,
Laura Trice,"Counselor, coach and baker",female,0,2,0,female,
Laurel Braitman,Science Historian + Writer,female,0,1,1,female,
Lauren Hodge,Science fair winner,female,0,3,0,female,
Lauren Zalaznick,Media executive,female,0,7,0,female,
Laurie Garrett,Science journalist,female,0,4,1,female,
Laurie Santos,Cognitive psychologist,female,0,4,1,female,
Leah Buechley,Designer,female,0,1,0,female,
Leana Wen,"Emergency physician, public health advocate",female,0,8,0,female,
Lesley Hazleton,Accidental theologist,female,0,5,0,female,
Leslie T. Chang,Journalist,female,0,4,1,female,
Leymah Gbowee,"Peace activist, Nobelist",female,0,1,0,female,
Lily Tomlin,Comedian and actor,female,0,7,0,female,
Linda Cliatt-Wayman,High school principal,female,0,7,1,female,
Linda Hill,Management professor,female,0,4,0,female,
Linda Liukas,"Programmer, storyteller and illustrator",female,0,3,0,female,
Lisa Bu,Passionate reader,female,0,4,1,female,
Lisa Gansky,Entrepreneur,female,0,1,0,female,
Lisa Harouni,3D printing entrepreneur,female,0,1,0,female,
Lisa Kristine,Photographer,female,0,10,0,female,
Lisa Margonelli,Writer,female,0,3,0,female,
Lisa Nip,Synthetic biologist ,female,0,4,1,female,
Liz Coleman,College president,female,0,1,0,female,
Liza Donnelly,Cartoonist ,female,0,9,1,female,
Loretta Napoleoni,Macroeconomist,female,0,4,0,female,
Lorrie Faith Cranor,Security researcher,female,0,6,0,female,
Louise Fresco,Food and agriculture expert,female,0,1,1,female,
Louise Leakey,Paleoanthropologist,female,0,4,0,female,
Lucianne Walkowicz,Stellar astronomer,female,0,8,0,female,
Lucy McRae,Body architect ,female,0,4,0,female,
Madeleine  Albright,Former US Secretary of State,female,0,6,0,female,
Mae Jemison,"Astronaut, engineer, entrepreneur, physician and educator",female,0,2,0,female,
Magda Sayeg,Textile artist,female,0,8,1,female,
Maira Kalman,"Illustrator, author",female,0,11,0,female,
Majora Carter,Activist for environmental justice,female,1,11,0,female,
Mallika Sarabhai,"Dancer, actor, activist",female,0,10,1,female,
Manal al-Sharif,Women_ã_s rights activist,female,0,6,0,female,
Mandy Len Catron,Writer,female,0,2,0,female,
Margaret Heffernan,Management thinker,female,0,4,2,female,
Margaret Gould Stewart,User experience master,female,0,8,0,female,
Margaret Wertheim,Figurer,female,0,1,0,female,
Maria Bezaitis,Computer engineer,female,0,3,0,female,
Marian Bantjes,"Designer, illustrator, typographer",female,0,7,0,female,
Mariana Mazzucato,Innovation economist,female,0,2,0,female,
Marina Abramovi„_,Performance artist,female,0,4,0,female,
Marlene Zuk,Evolutionary biologist,female,0,1,0,female,
Martine Rothblatt,Transhumanist,female,0,5,1,female,
Mary Bassett,New York City Health Commissioner,female,0,9,0,female,
Mary Lou Jepsen,Screen engineer,female,0,8,1,female,
Mary Norris,Copy editor,female,0,5,0,female,
Mary Roach,Writer,female,0,9,1,female,
Mary Robinson,Global leader,female,0,5,0,female,
Maryn McKenna,Public health journalist,female,0,6,1,female,
May El-Khalil ,Founder of the Beirut Marathon,female,0,3,0,female,
Maya Beiser,Cellist,female,0,3,0,female,
Maya Penn,"Entrepreneur, animator, philanthropist ...",female,0,7,0,female,
Maysoon Zayid,Comedian and writer ,female,0,10,1,female,
Meaghan Ramsey,Self-esteem advocate,female,0,6,2,female,
Meera Vijayann,Citizen journalist,female,0,5,0,female,
Meg Jay,Clinical psychologist,female,0,7,0,female,
Megan Kamerick,Reporter,female,0,6,0,female,
Megan Washington,Musician,female,0,11,2,female,
Meklit Hadero,Singer-songwriter,female,0,7,1,female,
Memory Banda,Activist,female,0,4,0,female,
Michelle Obama,First Lady of the United States,female,0,8,2,female,
Mileha Soneji,Product designer,female,0,8,0,female,
Mina Bissell,Cancer Researcher,female,0,5,1,female,
Miru Kim,Photographer and explorer,female,0,9,1,female,
Miwa Matreyek,Multimedia artist,female,0,3,0,female,
Molly Crockett,Neuroscientist,female,0,2,0,female,
Molly Stevens,Biomaterials researcher,female,0,1,0,female,
Monica Byrne,Author and playwright,female,0,7,0,female,
Monica Lewinsky,Social activist,female,0,6,0,female,
Monika Bulaj,Photographer,female,0,7,0,female,
Morgan O'Neill,Disaster relief expert,female,0,7,1,female,
Morgan O'Neill,Disaster relief expert,female,0,7,1,female,
Morgana Bailey,Human resources professional,female,0,6,3,female,
Morley,Singer-songwriter,female,0,7,0,female,
Nadia Al-Sakkaf,Journalist,female,0,5,0,female,
Nadine Burke Harris,Pediatrician,female,0,7,0,female,
Nalini Nadkarni,Tree researcher,female,0,7,3,female,
Nancy Etcoff,Evolutionary psychologist,female,0,1,1,female,
Nancy Kanwisher,Brain researcher,female,0,2,1,female,
Nancy Lublin,Activist,female,0,2,0,female,
Naomi Klein,"Author, Activist ",female,0,6,0,female,
Naomi Oreskes,Historian of science,female,1,3,0,female,
Naomi Shah,Science fair winner,female,0,3,0,female,
Natalie Jeremijenko,Artist and engineer,female,0,6,0,female,
Natalie MacMaster,Fiddler,female,0,4,1,female,
Natalie Merchant,Singer/songwriter,female,0,15,0,female,
Nathalie Cabrol,Planetary explorer,female,0,1,0,female,
Nathalie Miebach,Artist,female,0,2,0,female,
Nellie McKay,Singer/songwriter,female,0,4,1,female,
Neri Oxman,"Architect, designer",female,0,2,1,female,
Ngozi Okonjo-Iweala,Economist,female,0,8,0,female,
Nicole Paris and Ed Cage,Beatboxers,female,0,4,0,female,
Nilofer Merchant,"Corporate director, author",female,0,4,0,female,
Nina Jablonski,Anthropologist,female,0,4,0,female,
Nina Tandon,Tissue engineering researcher,female,0,2,0,female,
Nonny de la Peê±a,Virtual reality pioneer,female,0,4,0,female,
Nora York,"Singer, performance artist",female,0,6,0,female,
Noreena Hertz,Economist,female,0,5,0,female,
Noy Thrupkaew,Global journalist,female,0,3,0,female,
Onora O'Neill,Philosopher,female,0,4,0,female,
Pamela Meyer,Lie detector,female,0,5,0,female,
Pamela Ronald,Plant geneticist,female,0,2,0,female,
Pamelia Kurstin,Theremin player,female,0,6,0,female,
Paola Antonelli,Design curator,female,0,5,1,female,
Pardis Sabeti,Computational geneticist,female,0,1,1,female,
Parul Sehgal,Literary critic,female,0,1,0,female,
Patience Mthunzi,Laser scientist,female,0,5,0,female,
Patricia Burchat,Particle physicist,female,0,1,0,female,
Patricia Kuhl,Language ,female,0,1,0,female,
Patrê_cia Medici,Wildlife conservationist,female,0,1,0,female,
Patricia Ryan,Language teacher,female,0,2,0,female,
Pattie Maes,Researcher,female,0,1,1,female,
Paula Hammond,Medical researcher and educator ,female,0,15,0,female,
Paula Scher,Designer at play,female,0,2,0,female,
Pearl Arredondo,Teacher,female,0,13,1,female,
Penelope Boston,Cave scientist,female,0,2,1,female,
Penelope Jagessar Chaffer,Filmmaker,female,0,8,0,female,
Pia Mancini,Democracy activist,female,0,1,0,female,
Rachel Armstrong,"Applied scientist, innovator",female,0,8,1,female,
Rachel Botsman,Sharing Innovator,female,0,5,1,female,
Rachel Pike,Atmospheric chemist,female,0,2,0,female,
Rachel Sussman,"Artist, photographer",female,0,1,1,female,
Rachelle Garniez,Musician,female,0,10,0,female,
Ramona Pierson,Education innovator,female,0,5,0,female,
Rana el Kaliouby,Computer scientist,female,0,4,1,female,
Rebecca MacKinnon,Media activist,female,0,3,0,female,
Rebecca Newberger Goldstein,Philosopher and writer,female,0,3,0,female,
Rebecca Saxe,Cognitive neuroscientist,female,0,4,0,female,
Regina Dugan,Former director of DARPA,female,0,8,0,female,
Regina Hartley,"Human Resources Manager, UPS",female,0,3,0,female,
Renata Salecl,Theorist,female,0,2,0,female,
Reshma Saujani,Education activist,female,0,4,0,female,
Robin Morgan,Poet and activist,female,0,3,0,female,
Robin Murphy,Disaster roboticist,female,0,6,0,female,
Robin Nagle,Trash anthropologist,female,0,8,1,female,
Robyn Stein DeLuca,Psychologist,female,0,2,0,female,
Romina Libster,Medical researcher,female,0,12,0,female,
Rose George,Curious journalist,female,0,2,1,female,
Roselinde Torres,Leadership expert,female,0,7,2,female,
Rosie King,Storytelling activist,female,0,10,0,female,
Roxane Gay,Writer,female,0,2,1,female,
Roz Savage,Ocean rower,female,0,9,0,female,
Ruby Wax,Comedian and Mental Health Activist,female,1,8,0,female,
Ruth Chang,Philosopher,female,0,7,0,female,
Sakena Yacoobi,Education activist,female,0,2,0,female,
Samantha Power,Political scientist and journalist,female,0,5,1,female,
Sandra Aamodt,Neuroscientist and science writer,female,0,4,2,female,
Sangeeta Bhatia,"Physician, bioengineer and entrepreneur ",female,0,3,0,female,
Sara Lewis,Firefly specialist,female,0,3,1,female,
Sara Seager,Exoplanet expert,female,0,2,0,female,
Sarah Bergbreiter,Microroboticist,female,0,8,1,female,
Sarah Gray,Researchers' dream donator,female,1,6,1,female,
Sarah-Jayne Blakemore,Cognitive Neuroscientist,female,0,2,0,female,
Sarah Jones,Polymorphic playwright,female,0,9,0,female,
Sarah Kaminsky,Actor and writer,female,1,9,0,female,
Sarah Kay,Poet,female,0,7,0,female,
Sarah Lewis,Writer,female,0,6,0,female,
Sarah Parcak,Satellite archaeologist + TED Prize winner,female,0,7,1,female,
Scilla Elworthy,Peace builder,female,0,7,2,female,
Shabana Basij-Rasikh,Educator,female,0,7,1,female,
ShaoLan Hsueh,"Technologist, entrepreneur",female,0,9,0,female,
Sheena Iyengar,Psycho-economist,female,0,8,1,female,
