author,occupation,description,gender
Richard Preston,Writer,"Richard Preston wrote The Hot Zone, a classic look at the Ebola virus and the scientists who fight it. His wide-ranging curiosity about science and people has led him to cover a dizzying list of topics, with a lapidary attention to detail and an ear for the human voice.",male
Richard Pyle,Ichthyologist,"Ichthyologist Richard Pyle is a fish nerd. In his quest to discover and document new species of fish, he has also become a trailblazing exploratory diver and a pioneer of database technology. ",male
Richard Resnick,Entrepreneur,"Richard Resnick is on the front lines of the business of genomes, as CEO of GenomeQuest, a maker of genomic software.",male
Richard Sears,Geophysicist,"Richard Sears thinks hard about the post-oil world. He's a visiting scientist at MIT, after a long career as a VP at Shell.",male
Richard St. John,"Marketer, success analyst","A self-described average guy who found success doing what he loved, Richard St. John spent more than a decade researching the lessons of success _ã and distilling them into 8 words, 3 minutes and one successful book.",male
Richard Turere,Inventor,"Young inventor Richard Turere invented ""lion lights,"" an elegant way to protect his family's cattle from lion attacks.",male
Richard Weller,Dermatologist,Dermatologist Richard Weller wants to know: Why are Scots so sick?,male
Richard Wilkinson,Public health researcher,"In ""The Spirit Level,"" Richard Wilkinson charts data that proves societies that are more equal are healthier, happier societies.",male
Richard Ledgett,"Deputy director, NSA","Richard Ledgett is deputy director and senior civilian leader of the National Security Agency. He acts as the agency_ã_s chief operating officer, responsible for guiding and directing studies, operations and policy.",male
Rick Smolan,Photographer,Rick Smolan is the co-founder of the America 24/7 and Day in the Life photography series _ã and a natural storyteller in many media. His latest books are America at Home and Blue Planet Run.,male
Rick Warren,"Pastor, author","Pastor Rick Warren is the author of The Purpose-Driven Life, which has sold more than 30 million copies worldwide. His has become an immensely influential voice seeking to apply the values of his faith to issues such as global poverty, HIV/AIDS and injustice.",male
Rishi Manchanda,Physician,"Rishi Manchanda is an ""upstreamist."" A physician and public health innovator, he aims to reinvigorate primary care by teaching doctors to think about_ãand treat_ãthe social and environmental conditions that often underly sickness.",male
Rives,"Performance poet, multimedia artist","Performance artist and storyteller Rives has been called ""the first 2.0 poet,"" using images, video and technology to bring his words to life. ",male
Rob Dunbar,"Oceanographer, biogeochemist","Rob Dunbar looks deeply at ancient corals and sediments to study how the climate and the oceans have shifted over the past 50 to 12,000 years _ã and how the Antarctic ecosystem is changing right now.",male
Rob Forbes,Designer,"Rob Forbes founded Design Within Reach, the furniture company that brought high design to the general public. ",male
Rob Harmon,Natural resources expert,"Rob Harmon is an expert on energy and natural resources policy _ã looking at smart ways to manage carbon, water and the energy we use every day.",male
Rob Hopkins,Resilience leader,"Rob Hopkins is the founder of the Transition movement, a radically hopeful and community-driven approach to creating societies independent of fossil fuel. ",male
Rob Knight,Microbial ecologist,Rob Knight explores the unseen microbial world that exists literally right under our noses _ã and everywhere else on (and in) our bodies.,male
Rob Reid,"Author, entrepreneur",Rob Reid is a humor author and the founder of the company that created the music subscription service Rhapsody.,male
Robert Ballard,Oceanographer,"On more than 120 deep-sea expeditions, Robert Ballard has made many major natural discoveries, such as the deep-sea vents. Oh, and he found the Titanic.",male
Robert Fischell,Biomedical inventor,"Robert Fischell invented the rechargeable pacemaker, the implantable insulin pump, and devices that warn of epileptic seizures and heart attacks. Yet it's not just his inventive genius that makes him fascinating, but his determination to make the world a better place. ",male
Robert Full,Biologist,"Robert Full studies cockroach legs and gecko feet. His research is helping build tomorrow's robots, based on evolution's ancient engineering.",male
Robert Gupta,Violinist,Violinist Robert Gupta joined the LA Philharmonic at the age of 19 _ã and maintains a passionate parallel interest in neurobiology and mental health issues. He's a TED Senior Fellow.,male
Robert Hammond,Friend of the High Line,"The co-founder of Friends of the High Line, Robert Hammond helped lead the effort to build an elevated park on an abandoned railway line in Manhattan.",male
Robert J. Gordon,Economist,Robert J. Gordon is among the most influential macroeconomists in the world. And the big picture he sees is not altogether rosy.,male
Robert Lang,Origamist,Robert Lang merges mathematics with aesthetics to fold elegant modern origami. His scientific approach helps him make folds once thought impossible _ã and has secured his place as one of the first great Western masters of the art. ,male
Robert Lee Hotz,Journalist,"Robert Lee Hotz is the science columnist for the Wall Street Journal, where he writes about cutting-edge research on climate change, cosmology, molecular medicine, the human brain and much more ... He has traveled three times to the South Pole.",male
Rob Legato,Visual Effects Guru,Rob Legato creates surprising and creative visual illusions for movies.,male
Robert Neuwirth,Author,"To research his new book, ""Stealth of Nations,"" Robert Neuwirth spent four years among street vendors, smugglers and _ãinformal_ã import/export firms.",male
Robert Palmer,"Campaign leader, Global Witness",Robert Palmer investigates how the financial system facilitates corruption and other crimes.,male
Robert Swan,Polar explorer,"Robert Swan has explored both poles, and wants to make sure that Antarctica, the world's last great wilderness, is never exploited.",male
Robert Waldinger,"Psychiatrist, psychoanalyst and Zen priest","Robert Waldinger is the Director of the Harvard Study of Adult Development, one of the most comprehensive longitudinal studies in history.",male
Robert Wright,"Journalist, philosopher","The best-selling author of ""Nonzero,"" ""The Moral Animal"" and ""The Evolution of God,"" Robert Wright draws on his wide-ranging knowledge of science, religion, psychology, history and politics to figure out what makes humanity tick _ã and what makes us moral. ",male
Robin Ince,Comedian,The rational-minded Robin Ince conducts live experiments in comedy.,male
Rodney Brooks,Roboticist,Rodney Brooks builds robots based on biological principles of movement and reasoning. The goal: a robot who can figure things out.,male
Rodney Mullen,Skater,Rodney Mullen is a legendary skateboarder who transformed the art of street skating.,male
Rodrigo Bijou,Security researcher ,"Rodrigo Bijou's work focuses on the cross section of intelligence, data science and information security.",male
Rodrigo Canales,Business professor,Rodrigo Canales wants to understand how individuals influence organizations or systems_ãeven those as complex as the Mexican drug cartels.,male
Roger Ebert,Film critic and blogger,"After losing the power to speak, legendary film critic Roger Ebert went on to write about creativity, race, politics and culture _ã and film, just as brilliantly as ever.",male
Roger Stein,Financial management expert,Roger Stein wants to bring financial engineering to the world of drug funding.,male
Rogier van der Heide,Lighting designer,Rogier van der Heide creates architectural spaces with light.,male
Roman Mars,Digital storyteller,"With his show 99% Invisible, Roman Mars discovered new ways to jolt public radio out of its old paradigms, while at the same time spinning riveting tales of design.",male
Romulus Whitaker,Herpetologist,Romulus Whitaker is a scientist and conservationist who slings around the globe to study and protect reptiles.,male
Ron Finley,Gardener,Ron Finley grows a nourishing food culture in South Central L.A._ã_s food desert by planting the seeds and tools for healthy eating.,male
Ron Gutman,Entrepreneur,"Ron Gutman is the founder and CEO of HealthTap, free mobile and online apps for health info. He's also the organizer of TEDxSiliconValley.",male
Ron McCallum,Labor lawyer and activist,"Blind almost since birth, Ron McCallum is one of Australia's most respected legal scholars, and an activist on behalf of disabled people around the globe.",male
Ronny Edry,Graphic Designer,"Ronny Edry of Israel created The Peace Factory, an online movement for peace in the Middle East, when he posted a Facebook image that declared ""Iranians, we will never bomb your country.""",male
Rory Bremner,Comedian,"One of the UK's sharpest funny men, Rory Bremner exposes the lunacies of modern politics with devilishly clever political satire and spot-on impressions of leaders from around the world.",male
Rory Stewart,Politician,"Rory Stewart _ã a perpetual pedestrian, a diplomat, an adventurer and an author _ã is the member of British Parliament for Penrith and the Border.",male
Rory Sutherland,Advertising guru,"Rory Sutherland stands at the center of an advertising revolution in brand identities, designing cutting-edge, interactive campaigns that blur the line between ad and entertainment.",male
Ross Lovegrove,Industrial designer,"Known as ""Captain Organic,"" Ross Lovegrove embraces nature as the inspiration for his ""fat-free"" design. Each object he creates _ã be it bottle, chair, staircase or car _ã is reduced to its essential elements. His pieces offer minimal forms of maximum beauty.",male
Roy Gould,Astronomer,"A researcher at the Harvard Center for Astrophysics, Roy Gould gives the first public demo of the World Wide Telescope, a powerful new web-based tool for exploring the universe, developed by TEDster Curtis Wong and his team at Microsoft.",male
Rufus Cappadocia,Cellist,"Globe-trotting, genre-hopping cellist Rufus Cappadocia plays the music of our sphere.",male
Russ Altman,Big data techno-Ô_optimist and internist,Russ Altman uses machine learning to better understand adverse effects of medication.,male
Russell Foster,Circadian neuroscientist,"Russell Foster studies sleep and its role in our lives, examining how our perception of light influences our sleep-wake rhythms.",male
Ryan Holladay,Musical artist,"With his brother, Hays, Ryan Holladay creates site-specific sound installations, interactive concerts and GPS-based compositions for sites across the United States.",male
Ryan Lobo,Photographer,"As a photographer and filmmaker, Ryan Lobo uses his exquisite lens to capture humanity and nature at their most open and vulnerable moments.",male
Ryan Merkley,"COO, Mozilla Foundation","Ryan Merkley is the Chief Operating Officer at the Mozilla Foundation, and is dedicated to making the web a more user-friendly place.",male
Saki Mafundikwa,Graphic designer,Saki Mafundikwa wrote the book on Africa_ã_s graphic design heritage _ã then opened a school of graphic arts in his native Zimbabwe. ,male
Salman Khan,Educator,"In 2004, Salman Khan, a hedge fund analyst, began posting math tutorials on YouTube. Six years later, he has posted more than 2,000 tutorials, which are viewed nearly 100,000 times around the world each day.",male
Sam Harris,Neuroscientist and philosopher,"In Sam Harris' best-selling books, he suggests that questioning religious faith might just save civilization.",male
Sam Martin,Writer,"Sam Martin is the director of digital strategy at Texas Monthly magazine, and the author of ""Manspace: A Primal Guide to Marking Your Territory.""",male
Sam Richards,Sociologist,Sam Richards is a sociologist and teacher of the largest race relations course in the US. He argues that empathy is the core of sociology.,male
Samuel Cohen,Research scientist,Samuel Cohen researches Alzheimer's disease and other neurodegenerative disorders.,male
Sanford Biggers,Conceptual artist,Sanford Biggers creates art that upends traditional narratives about topics ranging from hip hop to Buddhism to American history.,male
Sangu Delle,Investor,"Sangu Delle is an entrepreneur and clean water activist. A TED Fellow who hails from Ghana, he sees incredible potential in the African economy.",male
Sanjay Dastoor,Roboticist,"Sanjay Dastoor is the co-founder of Boosted Boards, a startup that aims to build the world's lightest electric vehicles.",male
Sanjay Pradhan,Development Leader,"Sanjay Pradhan is vice president of the World Bank Institute, helping leaders in developing countries learn skills for reform, development and good governance.",male
Sasa Vucinic,Nonprofit venture capitalist,Sasa Vucinic's Media Development Loan Fund applies venture-capital principles to create a sustainable free press in developing nations and countries emerging from repressive regimes.,male
Saul Griffith,Inventor,"Inventor Saul Griffith looks for elegant ways to make real things, from low-cost eyeglasses to a kite that tows boats. His latest projects include open-source inventions and elegant new ways to generate power.",male
Scott Dinsmore,"Writer, traveler","Scott Dinsmore founded Live Your Legend, a career and connection platform to inspire people to find their passion.",male
Scott Fraser,"Forensic psychologist, expert witness",Scott Fraser is a forensic psychologist who thinks deeply about the fallibility of human memory and encourages a more scientific approach to trial evidence.,male
Scott Kim,Puzzlemaster,"Scott Kim designs puzzles in the spirit of MC Escher's art and Tetris _ã visually stimulating, thought provoking and suffused with broad appeal.",male
Scott McCloud,Cartoonist,"Scott McCloud is author of Understanding Comics, a comic book about comics. He's an evangelist for comics as a valid literary form (as more than pulp and kids' stuff) and his admiring fans include a laundry list of superstar cartoonists.",male
Sean Carroll,"Physicist, cosmologist","A physicist, cosmologist and gifted science communicator, Sean Carroll is asking himself _ã and asking us to consider _ã questions that get at the fundamental nature of the universe.",male
Sean Follmer,Human-computer interaction researcher and designer,Sean Follmer designs shape-changing and deformable interfaces that take advantage of our natural dexterity and spatial abilities.,male
Sean Gourley,Physicist and military theorist,"Sean Gourley, trained as a physicist, has turned his scientific mind to analyzing data about a messier topic: modern war and conflict. He is a TED Fellow.",male
Sebastian Deterding,Designer,Sebastian Deterding is an interface designer who thinks deeply about persuasive and gameful design.,male
Sebastian Junger,Journalist and documentarian,"The author of ""The Perfect Storm"" and the director of the documentaries ""Restrepo"" and ""Korengal,"" Sebastian Junger tells non-fiction stories with grit and emotion.",male
Sebastian Seung,Computational neuroscientist,"Sebastian Seung is a leader in the new field of connectomics, currently the hottest space in neuroscience, which studies, in once-impossible detail, the wiring of the brain.",male
Sebastian Thrun,Engineer,"Sebastian Thrun is the director of the Stanford Artificial Intelligence Lab and is working, through robotics, to change the way we understand the world.",male
Sebastian Wernicke,Data scientist,"After making a splash in the field of bioinformatics, Sebastian Wernicke moved on to the corporate sphere, where he motivates and manages multidimensional projects.",male
Sebastiê£o Salgado,Photojournalist,"Sebastiê£o Salgado captures the dignity of the dispossessed through large-scale, long-term projects.",male
Sergei Lupashin,Aerial robotics researcher,Sergei Lupashin imagines new uses for flying robots. He's a 2014 TED Fellow.,male
Seth Berkley,Vaccine visionary,"Epidemiologist Seth Berkley is leading the charge to make sure vaccines are available to everyone, including those living in the developing world.",male
Seth Godin,Marketer and author,Seth Godin is an entrepreneur and blogger who thinks about the marketing of ideas in the digital age. His newest interest: the tribes we lead.,male
Seth Shostak,Astronomer,"Seth Shostak is an astronomer, alien hunter and bulwark of good, exciting science.",male
Seyi Oyesola,Doctor,"Physician Seyi Oyesola co-developed the ""Hospital in a Box"" _ã a pop-up, portable, solar-powered OR for off-grid medicine in Africa and elsewhere. But, he says, Africa needs more than new tools to heal itself.",male
Shaffi Mather,"Social entrepreneur, lawyer","Shaffi Mather is the founder of 1298 for Ambulance, Education Access for All, and co-promoter of Moksha-Yug Access.",male
Shai Agassi,Green auto pioneer,Shai Agassi wants to put you behind the wheel of an electric car _ã but he doesn't want you to sacrifice convenience (or cash) to do it. ,male
Shai Reshef,Education entrepreneur,"By offering a tuition-free university education in business or computers, Shai Reshef hopes to transform disadvantaged communities _ã and disrupt higher education as we know it.",male
Shaka Senghor,Author,"Using literature as a lifeline, Shaka Senghor escaped a cycle of prison and desperation. Now his story kindles hope in those who have little.",male
Shane Koyczan,Poet,"Shane Koyczan makes spoken-word poetry and music. His poem ""To This Day"" is a powerful story of bullying and survival, illustrated by animators from around the world.",male
Shashi Tharoor,Politician and writer,"After a long career at the UN, and a parallel life as a novelist, Shashi Tharoor became a member of India's Parliament. He spent 10 months as India's Minister for External Affairs, building connections between India and the world.",male
Shawn Achor,Psychologist,"Shawn Achor is the CEO of Good Think Inc., where he researches and teaches about positive psychology.",male
Shea Hembrey,Artist and curator,"Shea Hembrey explores patterns from nature and myth. A childhood love of nature, and especially birdlife, informs his vision.",male
Shekhar Kapur,Director and writer,"Shekhar Kapur is a visionary filmmaker and storyteller who works at the intersection of art, myth and activism.",male
Sherwin Nuland,Doctor,"A practicing surgeon for three decades, Sherwin Nuland witnessed life and death in every variety. Then he turned to writing, exploring what there is to people beyond just anatomy.",male
Shigeru Ban,Architect,Most people look at cardboard tubes and see something fit for the recycling bin. But architect Shigeru Ban turns them into beautiful buildings. ,male
Shih Chieh Huang,Artist,"Shih Chieh Huang doesn_ã_t make art that_ã_s meant to be admired from afar. He dissects and disassembles the detritus of our lives_ãhousehold appliances, lights, computer parts, toys_ãand transforms them into surreal experiences.",male
Shimon Schocken,"Computer Scientist, Educator",Shimon Schocken is a computer science professor and dedicated educator.,male
Shimpei Takahashi,Toy designer,Shimpei Takahashi thinks we should forget about analyzing data or sales figures and just come up with ideas _ã lots and lots of ideas.,male
Shlomo Benartzi,Economist,"Shlomo Benartzi uses behavioral economics to study how and why we plan well for the future (or fail to), and uses that to develop new programs to encourage saving for retirement.",male
Shubhendu Sharma,Reforestation expert,"Eco-entrepreneur Shubhendu Sharma _ã and his company, Afforestt _ã create afforestation methods that make it easy to plant maintenance-free, wild and biodiverse forests.",male
Shyam Sankar,Data Intelligence Agent,"An advocate of human-computer symbiosis, Shyam Sankar looks for clues in big and disparate data sets.",male
Siddhartha Mukherjee,Cancer physician and writer,"When he_ã_s not ferreting out the links between stem cells and malignant blood disease, Siddhartha Mukherjee writes and lectures on the history (and future) of medicine.",male
Siddharthan Chandran,Regenerative neurologist,Siddharthan Chandran explores how to heal damage from degenerative disorders such as MS and motor neuron disease (ALS).,male
Siegfried Woldhek,Illustrator,"Siegfried Woldhek knows faces _ã he's drawn more than 1,100 of them. Using sophisticated image analysis and his own skills as an artist, he's come up with a fascinating discovery about Leonardo Da Vinci.",male
Simon Anholt,Policy advisor,"Simon Anholt helps national, regional and city governments earn better reputations_ãnot by launching advertising or PR campaigns, but by changing the way they behave. ",male
Simon Berrow,Marine biologist,Simon Berrow is a marine biologist dedicated to studying and preserving the basking shark.,male
Simon Lewis,"Author, producer","Simon Lewis is the author of ""Rise and Shine,"" a memoir about his remarkable recovery from a car accident and coma, and his new approach to our own consciousness.",male
Simon Sinek,Leadership expert,"Simon Sinek explores how leaders can inspire cooperation, trust and change. He's the author of the classic ""Start With Why""; his latest book is ""Leaders Eat Last.""",male
Ken Robinson,Author/educator,"Creativity expert Sir Ken Robinson challenges the way we're educating our children. He champions a radical rethink of our school systems, to cultivate creativity and acknowledge multiple types of intelligence. ",male
Martin Rees,Astrophysicist,"Lord Martin Rees, one of the world's most eminent astronomers, is an emeritus professor of cosmology and astrophysics at the University of Cambridge and the UK's Astronomer Royal. He is one of our key thinkers on the future of humanity in the cosmos.",male
Sonaar Luthra,,"Sonaar Luthra is the creator of Water Canary, a water-testing device that collects real-time water-quality data from the field.",male
Sophal Ear,Development economist,"Sophal Ear leads research on post-conflict countries _ã looking at the effectiveness of foreign aid and the challenge of development in places like his native land, Cambodia.",male
Spencer Wells,Genographer,"Spencer Wells studies human diversity _ã the process by which humanity, which springs from a single common source, has become so astonishingly diverse and widespread.",male
Srdja Popovic,Organizer,"Srdja Popovic was a founder and leader of the student movement that brought down the Milosovic regime. Now, he helps other nonviolent movements learn and grow.",male
Srikumar Rao,Happiness teacher,"Executive, educator, writer and life coach Srikumar S. Rao asks, ""Are you ready to succeed?"" _ã and in his famous course ""Creativity and Personal Mastery,"" he teaches his students how to do so.",male
Stanley McChrystal,Military leader,"General Stanley McChrystal is the former commander of U.S. and International forces in Afghanistan. A four-star general, he is credited for creating a revolution in warfare that fuses intelligence and operations.",male
Stefan Sagmeister,Graphic designer,"Renowned for album covers, posters and his recent book of life lessons, designer Stefan Sagmeister invariably has a slightly different way of looking at things.",male
Stefan Wolff,Ethnic conflicts scholar,"Stefan Wolff studies contemporary conflicts, focusing on the prevention and settlement of ethnic conflicts and in postconflict reconstruction in deeply divided and war-torn societies.",male
Stefon Harris,Jazz vibraphonist,Stefon Harris plays the vibraphone _ã and leads a jazz ensemble with a collaborative sound built on collective inspiration.,male
Stephen Burt,Poetry critic,"In his influential poetry criticism, Stephen Burt links the contemporary with the classical, pinpoints new poetry movements, and promotes outstanding little-known poets.",male
Stephen Cave,Philosopher,Philosopher Stephen Cave wants to know: Why is humanity so obsessed with living forever?,male
Stephen Coleman,Ethicist,"Stephen Coleman studies applied ethics, particularly the ethics of military and police force, and their application to human rights.",male
Stephen Friend,Open-science advocate,"Inspired by open-source software models, Sage Bionetworks co-founder Stephen Friend builds tools that facilitate research sharing on a massive and revolutionary scale.",male
Stephen Hawking,Theoretical physicist,"Stephen Hawking's scientific investigations have shed light on the origins of the cosmos, the nature of time and the ultimate fate of the universe. His bestselling books for a general audience have given an appreciation of physics to millions.",male
Stephen Palumbi,Marine biologist,Stephen Palumbi studies the way humanity and ocean life interact and intertwine. His insights into our codependence offer ideas for protecting both the ocean and ourselves.,male
Stephen Petranek,Technology forecaster ,Stephen Petranek untangles emerging technologies to predict which will become fixtures of our future lives _ã and which could potentially save them. ,male
Stephen Wolfram,"Scientist, inventor","Stephen Wolfram is the creator of Mathematica and Wolfram|Alpha, the author of A New Kind of Science, and the founder and CEO of Wolfram Research.",male
Steve Howard,Corporate innovator,"Steve Howard leads the sustainability effort at Ikea, helping the low-price-furniture giant to bring sustainable products to millions of people.",male
Steve Jurvetson,Venture capitalist,"Venture capitalist Steve Jurvetson (he brought you Hotmail) is one of the most influential funders and thinkers in Silicon Valley. He's also an enthusiastic hobbyist, blogger and Flickr-er.",male
Steve Ramirez,Neuroscientist,"When Steve Ramirez published his latest study in Science, it caused a media frenzy. Why? Because the paper was on implanting false memories in the brains of mice.",male
Steve Silberman,Writer and editor,Steve Silberman is a writer and contributing editor for Wired who covers science and society. His newest book explores neurodiversity and the link between autism and genius.,male
Steve Truglia,Stuntman,"Stuntman and record-setter Steve Truglia is planning perhaps the ultimate high dive: a parachute jump from the edge of space, 120,000 feet (36.5 kilometers) up.",male
Steven Addis,Brand strategist,"Steven Addis is a father and photography buff who, by day, harnesses the power of branding for social change.",male
Steven Cowley,Physicist ,Steven Cowley directs the UK's leading fusion research center. Soon he'll helm new experiments that may make cheap fusion energy real on a commercial scale. ,male
Steven Johnson,Writer,"Steven Berlin Johnson examines the intersection of science, technology and personal experience.",male
Steven Levitt,Economist,"Steven Levitt's eye-opening Freakonomics took economic theory into the real world of suburban parenting and urban drug gangs, turning conventional wisdom upside-down.",male
Steven Pinker,Linguist,"Linguist Steven Pinker questions the very nature of our thoughts _ã the way we use words, how we learn, and how we relate to others. In his best-selling books, he has brought sophisticated language analysis to bear on topics of wide general interest.",male
Steven Schwaitzberg,Surgeon and technologist,"Dr. Steven Schwaitzberg is on a mission to teach surgeons around the world to perform minimally invasive surgery. But first, he's had to find the right technology to allow communication across the language barrier.  ",male
Steven Strogatz,Mathematician,"In his work in applied mathematics, Steven Strogatz studies the way math and biology intersect.",male
Stew,Singer/songwriter,Singer-songwriter Stew spins improvisatory songs drawn from his seemingly endless stable of stories and ideas. His musical Passing Strange won a Tony for Best Book in 2008.,male
Sting,"Composer, singer, author, actor, activist","He_ã_s sold more than 100 million albums and earned 16 Grammy Awards, yet Sting continues to surprise. His fourteenth solo album, The Last Ship, features songs from his Broadway-bound musical of the same name.",male
Stuart Brown,"Play researcher, psychiatrist","Stuart Brown's research shows play is not just joyful and energizing _ã it's deeply involved with human development and intelligence. Through the National Institute for Play, he's working to better understand its significance.",male
Stuart Firestein,Neuroscientist,Stuart Firestein teaches students and _ãcitizen scientists_ã that ignorance is far more important to discovery than knowledge.,male
Dayananda Saraswati,Vedantic teacher,Swami Dayananda Saraswati is an acclaimed spiritual teacher and the founder of AIM for Seva _ã a charitable trust that works to relieve poverty across India. ,male
T. Boone Pickens,Entrepreneur and energy theorist,"A legendary oil and gas entrepreneur, T. Boone Pickens is now on a mission to enhance U.S. energy policies to lessen the nation_ã_s dependence on OPEC oil.",male
Takaharu Tezuka,Architect,Architect Takaharu Tezuka creates imaginative and versatile personal spaces.,male
Tal Danino,Synthetic biologist,Tal Danino explores the emerging frontier of combining biology and engineering (and art). He is a 2015 TED Fellow.,male
Tal Golesworthy,Engineer and artist,"Tal Golesworthy is an engineer and entrepreneur, working in research and development of combustion and air pollution control _ã until he decided to innovate in his own health.",male
Tasso Azevedo,Forester and sustainability activist,Tasso Azevedo has helped reduce the rate of deforestation in Brazil_ã_s Amazon rainforest by 75 percent _ã and inspired similar efforts around the world.,male
Taylor Wilson,Nuclear scientist,"At 14, Taylor Wilson became the youngest person to achieve fusion _ã with a reactor born in his garage. Now he wants to save our seaports from nuclear terror.",male
Teddy Cruz,Architect and urbanist,"Teddy Cruz looks for clues to the ""city of the future"" in the emerging urban areas of today.",male
Teitur,Singer-songwriter,"Whether they_ã_re sung in in English or his native Faroese, Teitur laces his deceptively innocent songs with often stinging hooks.",male
Gustavo Dudamel and the Teresa Carreê±o Youth Orchestra,Ensemble,"The Teresa Carreê±o Youth Orchestra is the national high-school-age youth orchestra of El Sistema, made up of the best young musicians from throughout Venezuela. Gustavo Dudamel, himself a product of El Sistema, is the new musical director of the LA Philharmonic.",male
Theaster Gates,"Artist, potter, community builder","Theaster Gates is a potter whose ambitions stretch far beyond the wheel and the kiln. In Chicago, his leadership of artist-led spaces has catalyzed interest and excitement in a formerly neglected neighborhood, as he uses culture as a transformational weapon. ",male
Thom Mayne,Architect,"Founder of the influential studio Morphosis, and co-founder of the Southern California Institute of Architecture, Pritzker Prize-winning architect Thom Mayne marries conceptual ideas with form, challenging the way we perceive structure, building and the environment.",male
Thomas Barnett,Military strategist,Strategic planner Thomas Barnett has advised US leaders on national security since the end of the Cold War. His bold ideas about the future of warfare and the military are spelled out in his best-selling book The Pentagon's New Map.,male
Thomas Dolby,Electronic music pioneer,"Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""",male
Thomas Goetz,Healthcare communicator,"Thomas Goetz is the co-founder of Iodine and author of ""The Decision Tree: Taking Control of Your Health in the New Era of Personalized Medicine._ã",male
Thomas Heatherwick,Designer,"Thomas Heatherwick is the founder of Heatherwick Studio, an architecture and design firm that, among other projects, designed the astonishing ""Seed Cathedral"" for the UK Pavilion at Shanghai Expo 2010.",male
Thomas Insel,Neuroscientist and psychiatrist,"The Director of the National Institute of Mental Health, Thomas Insel supports research that will help us understand, treat and even prevent mental disorders.",male
Thomas P. Campbell,Museum director,"Thomas P. Campbell, director of The Metropolitan Museum of Art, aims to make the venerable museum's offerings both narrative-driven and accessible.  ",male
Thomas Peschak,Conservation photographer,Thomas Peschak strives to merge photojournalism and cutting edge science to create powerful media projects that tackle critical marine conservation issues.,male
Thomas Piketty,Economist,"Thomas Piketty is an economist and professor at the Paris School of Economics. His 2014 book, ""Capital in the Twenty-first Century,"" caused a sensation upon publication.",male
Thomas Suarez,"Developer, 12 year old","Thomas Suarez, a 12 year old, taught himself to build iphone apps.",male
Thomas Thwaites,Designer,"Thomas Thwaites is a designer ""of a more speculative sort,"" he says.",male
Tim Berners-Lee,Inventor,"Tim Berners-Lee invented the World Wide Web. He leads the World Wide Web Consortium (W3C), overseeing the Web's standards and development.",male
Tim Ferriss,"Productivity guru, author","Tim Ferriss is author of bestseller The 4-Hour Workweek, a self-improvement program of four steps: defining aspirations, managing time, creating automatic income and escaping the trappings of the 9-to-5 life.",male
Tim Harford,"Economist, journalist and broadcaster",Tim Harford's writings reveal the economic ideas behind everyday experiences.,male
Tim Jackson,Economist,"Tim Jackson studies the links between lifestyle, societal values and the environment to question the primacy of economic growth.",male
Tim Leberecht,Marketer,"As chief marketing officer at NBBJ, Tim Leberecht helps spark and nurture new thinking (and great design) for companies around the world.",male
Timothy Bartik,Economist,"The author of ""Investing in Kids,"" Timothy Bartik studies state and local economies _ã and analyzes the benefits of preschool as an economic development program.",male
Timothy Prestero,Designer,"Timothy Prestero loves a flashy ""concept car."" But in his own work, he aims to design products for social impact, keeping users in mind.",male
Toby Shapshak,Technology writer,"The publisher and editor of Stuff magazine, Toby Shapshak is a South African writer focusing on innovation _ã and the role it plays in Africa. ",male
Tod Machover,"Composer, inventor","At MIT's Media Lab, Tod Machover creates boundary-breaking new music, often using new instruments and music technologies he has invented.",male
Todd Humphreys,Assistant Professor,"Todd Humphreys studies GPS, its future, and how we can address some of its biggest security problems.",male
Tom Rielly,Satirist,"Traditionally, Tom Rielly closes the TED Conference with a merciless 18-minute monologue, skewering all the speakers with his deadpan delivery, spot-on satire and boundary-less performance (complete with PowerPoint, pratfalls and partial nudity).",male
Tom Shannon,Sculptor,Tom Shannon's mixed-material sculpture seems to levitate _ã often it actually does _ã thanks to powerful magnets and clever arrangements of suspension wire. He designed the TED Prize trophy. ,male
Tom Thum,Beatboxer,"Hip-hop musician Tom Thum whirls together beatboxing, performance and an array of mouthsounds.",male
Tom Uglow,Designer,"As creative director in the Google Creative Lab, Tom Uglow sees a disconnect with how we design to deliver information and what makes us happy.",male
Tom Wujec,Designer,Tom Wujec studies how we share and absorb information. He's an innovative practitioner of business visualization _ã using design and technology to help groups solve problems and understand ideas. He is a Fellow at Autodesk.,male
Tony Fadell,Product creator,"As the originator of the iPod, Tony Fadell is no stranger to disruptive technology. With Nest, he_ã_s zeroed in on tech_ã_s most elusive targets: household appliances.",male
Tony Robbins,Life coach; expert in leadership psychology,Tony Robbins makes it his business to know why we do the things we do. The pioneering life coach has spoken to millions of people through his best-selling books and three-day seminars.,male
Tony Wyss-Coray,Brain scientist,"At his lab at Stanford School of Medicine, Tony Wyss-Coray studies aging _ã and potential cures for it.",male
Topher White,Conservation technologist,"Through his startup Rainforest Connection, Topher White transforms used cell phones into guardians of the rainforest.",male
Travis Kalanick,"Problem solver-Ô_in-Ô_chief, Uber","As Uber's co-founder and CEO, Travis Kalanick is disrupting an entrenched industry and reinventing urban transportation.",male
