author,occupation,description,gender
Heather Knight,Roboticist ,"Heather Knight runs Marilyn Monrobot, which creates socially intelligent robot performances and sensor-based electronic art. (and she helped build the amazing Rube Goldberg machine for OK Go_ã_s _ãThis Too Shall Pass."")",female
Helen Fisher,Anthropologist; expert on love,"Anthropologist Helen Fisher studies gender differences and the evolution of human emotions. She's best known as an expert on romantic love, and her beautifully penned books _ã including Anatomy of Love and Why We Love _ã lay bare the mysteries of our most treasured emotion.",female
Hilary Cottam,Innovator and social entrepreneur,Hilary Cottam wants to redesign the welfare state using the power of relationships.,female
Holly Morris,Explorer and filmmaker,"Holly Morris tells the stories of women around the world through documentary, television, print and the web.",female
Honor Harger,Artist,"Honor Harger explores the sounds of the sky, using art to connect her audience to the universe.",female
Hyeonseo Lee,Activist,"As a child growing up in North Korea, Hyeonseo Lee thoght her country was the ""best on the planet."" It wasn't until the famine of the 90s that she began to wonder. She escaped the country at 17-years-old to begin a life in hiding as a refugee in China. Hers is a harrowing, personal tale of survival and hope _ã and a powerful reminder of those who face constant danger, even when the border is far behind.",female
Ilona Szabê_ de Carvalho,Policy reformer,"Ilona Szabê_ de Carvalho leads the Igarapê© Institute in Rio de Janeiro, which focuses on security and development policy.",female
Imogen Heap,Musician,Imogen Heap's aching voice and surprising electronics infuse countless videos and iPods with bone-chilling atmospherics.,female
Inge Missmahl,Analytical psychologist,"By building psychosocial care into the primary health care system in Afghanistan, Inge Missmahl offers hope to a society traumatized by decades of conflict and insecurity.",female
iO Tillett Wright,Photographer,"As a child actor, iO Tillett Wright turned her shoes around in the bathroom stall so that people would think she was a boy. As a teenager, she fell in love with both women and men. Her life in the grey areas of gender and sexuality deeply inform her work as an artist. ",female
Isabel Allende,Novelist,"Isabel Allende writes stories of passion. Her novels and memoirs, including The House of the Spirits and Eva Luna, tell the stories of women and men who live with passionate commitment _ã to love, to their world, to an ideal. ",female
Jackie Savitz,Ocean advocate,"Jackie Savitz works to protect the world's oceans. A marine biologist, she is passionate that saving the seas will benefit us all.",female
Jackie Tabick,Spiritual leader,"As the first woman in the UK to be ordained in the Jewish faith, Rabbi Jackie Tabick has forged a path of inclusiveness from her work_ã_s beginning. ",female
Jae Rhim Lee,Artist,Artist and TED Fellow Jae Rhim Lee re-imagines the relationships between the body and the world. ,female
Jamila Lyiscott,Poet and educator,"Jamila Lyiscott weaves words about language, education and the African Diaspora.",female
Jane Chen,Social entrepreneur,TED Fellow Jane Chen has spent years working on health issues in the developing world. ,female
Jane Fonda,Actor and activist,"Jane Fonda has had three extraordinary careers (so far): Oscar-winning actor, fitness guru, impassioned activist.",female
Jane Fonda,Actor and activist,"Jane Fonda has had three extraordinary careers (so far): Oscar-winning actor, fitness guru, impassioned activist.",female
