,term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
216,2100,0,1,0,5,0,1,0,1,1,0,0,0,0,0,0,0
217,211,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
218,216,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
219,218,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
220,22,2,0,1,6,2,0,3,5,3,5,2,6,2,15,2,7
221,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
222,223,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
223,225,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0
224,226,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
225,228,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
226,22nd,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
227,23,1,2,2,6,2,5,4,1,5,0,0,5,6,5,3,8
228,230,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
229,233,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
230,238,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
231,23andme,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
232,23rd,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
233,240,1,2,0,0,0,1,1,1,0,0,0,0,0,2,0,1
234,247,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,24th,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
236,250,0,3,0,5,2,4,5,6,3,6,2,6,5,10,3,0
237,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
238,256,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0
239,25th,0,0,0,1,0,0,0,2,0,4,0,0,4,0,0,0
240,26,4,1,1,4,2,2,1,0,6,4,0,7,0,1,4,3
241,260,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
242,267,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
243,26th,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
244,27,1,3,3,7,4,2,5,3,7,2,0,3,2,5,2,5
245,270,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
246,271,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
247,275,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
248,27th,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
249,28,1,1,0,3,6,4,1,2,3,1,1,4,3,2,3,4
250,28th,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
251,29,0,0,0,0,5,3,1,1,1,0,0,1,1,2,3,1
252,29th,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
253,2d,0,0,0,0,6,0,0,0,3,0,0,1,0,3,7,0
254,30s,2,1,0,0,1,2,2,0,1,1,1,3,0,3,1,1
255,30th,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
256,31,0,1,0,2,2,2,0,0,1,1,1,3,1,0,1,2
257,311,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
258,314,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
259,32,0,0,0,2,2,7,9,4,2,0,2,6,2,2,1,3
260,321,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
261,325,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0
262,33,0,0,0,0,1,2,3,3,2,0,0,2,2,1,3,3
263,34,0,0,0,0,1,0,4,1,1,0,1,1,2,1,2,2
264,340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
265,350,10,0,0,1,1,3,1,5,3,0,1,4,0,0,2,2
266,36,2,1,1,4,2,1,2,2,5,3,3,1,0,2,2,3
267,360,1,0,1,1,0,3,0,0,0,1,2,0,4,2,0,1
268,365,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0
269,37,0,0,1,5,4,2,2,1,2,1,1,1,0,1,0,2
270,370,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
271,375,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
272,38,0,1,1,5,0,1,2,1,3,1,0,1,1,1,2,2
273,380,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0
274,39,0,1,0,0,3,0,0,0,0,0,1,2,1,1,0,0
275,390,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
276,3d,1,0,0,1,10,4,4,9,10,11,4,10,30,28,11,6
277,3po,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
278,400th,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
279,40s,1,2,0,1,2,1,0,1,0,1,0,1,0,1,0,1
280,41,0,1,0,0,2,1,0,0,1,0,1,3,0,1,0,0
281,414,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
282,417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
283,42,1,1,0,0,1,1,4,3,0,1,1,2,9,2,2,2
284,420,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0
285,43,2,1,0,2,2,2,0,1,3,2,0,1,1,1,1,0
286,430,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
287,44,0,0,0,1,1,0,2,3,2,0,2,3,0,6,0,0
288,440,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
289,45,0,1,5,7,8,5,6,3,5,1,3,7,7,4,3,1
290,450,2,1,1,0,0,0,5,0,1,0,1,0,0,1,2,2
291,46,0,5,0,0,1,0,0,0,1,3,1,1,3,0,2,0
292,47,0,2,2,2,0,2,0,5,2,0,3,1,0,5,3,2
293,48,0,2,1,1,2,0,4,2,3,1,0,2,1,1,1,6
294,49,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0
295,4th,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
296,501,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
297,50s,3,0,1,1,3,4,1,1,4,0,1,2,0,1,1,0
298,50th,0,1,0,0,0,2,0,1,1,1,0,0,1,1,1,0
299,51,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,3
300,512,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
301,52,0,0,0,0,0,0,0,4,0,1,2,3,1,0,2,0
302,529,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
303,53,0,1,0,1,1,1,1,1,0,0,1,1,0,0,2,1
304,54,0,1,1,0,1,0,0,1,1,0,0,1,5,1,2,1
305,540,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
306,55,0,5,1,0,2,4,3,1,2,1,0,0,0,0,0,5
307,550,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2
308,56,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,2
309,57,1,0,1,7,0,1,0,0,1,1,0,2,0,1,0,2
310,58,2,0,0,0,1,1,0,0,0,1,1,1,2,1,2,1
311,59,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0
312,5th,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
313,60s,10,3,3,3,5,4,5,4,4,1,0,2,2,3,0,4
314,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
315,62,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,1
316,63,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,2
317,64,2,0,0,0,2,3,1,0,2,5,0,2,0,0,1,1
318,650,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0
319,66,0,0,2,1,0,0,1,1,0,3,0,0,1,0,3,4
320,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
321,667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
322,67,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1
323,68,0,0,0,2,0,0,0,2,0,1,0,1,2,3,2,1
324,69,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
325,6th,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
326,71,0,1,1,0,1,0,1,0,0,0,0,3,3,0,0,0
327,72,0,0,1,1,2,1,7,2,3,1,1,0,0,2,5,0
328,720,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
329,73,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
