,subject,verb,object
660,we,start,"[to, write, software, which, could, link, the, data, like, this]"
661,which,link,[data]
662,it,take,"[person, years]"
663,we,produce,[animations]
664,you,take,[data]
665,you,put,[it]
666,we,liberate,"[u.n, ., data]"
667,countries,accept,"[search, function]"
668,we,need,[what]
669,we,copy,[data]
670,we,get,[it]
671,we,hear,[what]
672,i,do,[anthropology]
673,we,give,[data]
674,we,like,"[what, to, see]"
675,people,use,"[design, tool]"
676,i,have,[news]
677,i,have,[news]
678,we,do,[it]
679,we,need,"[to, see, it]"
680,i,like,"[to, end, up, by, showing, the, internet, users, per, 1,000]"
681,we,access,[variables]
682,it,take,[time]
683,you,get,[variable]
684,you,like,"[to, have]"
685,you,understand,[them]
686,statisticians,like,[it]
687,this,show,[reality]
688,we,have,"[to, have, statistical, ,, analytical, methods]"
689,countries,lift,[more]
690,i,have,"[to, tell, you, i, 'm, both, challenged, and, excited]"
691,i,get,[chance]
692,i,do,[weekends]
693,i,do,[more]
694,i,coach,[people]
695,you,learn,[language]
696,you,get,[it]
697,you,do,[it]
698,you,need,[that]
699,i,do,[what]
700,i,need,[motivation]
701,i,do,[what]
702,i,want,"[to, know, why, you, do, what, you, do]"
703,you,do,[what]
704,that,drive,[you]
705,you,run,[pattern]
706,all,have,[minds]
707,most,have,[minds]
708,we,know,"[how, to, think]"
709,we,rationalize,[anything]
710,i,want,"[to, know, what, 's, driving, you]"
711,what,drive,[you]
712,i,like,"[what, to, invite, you, to, do, by, the, end, of, this, talk]"
713,you,contribute,[more]
714,we,understand,[people]
715,we,appreciate,[them]
716,we,create,[kinds]
717,that,stop,[some]
718,we,face,[that]
719,they,go,"[to, get, magnified, by, the, very, technology, that, connects, us]"
720,that,connect,[us]
721,intersection,create,[view]
722,everybody,understand,[everybody]
723,everybody,appreciate,[everybody]
724,i,have,[obsession]
725,what,make,[difference]
726,i,hire,"[to, produce, the, result, now]"
727,i,do,[it]
728,i,get,"[phone, call]"
729,they,get,"[phone, call]"
730,i,get,"[to, do, something, right, now, or, nothing, matters]"
731,i,get,"[phone, call]"
732,child,go,"[to, commit, suicide]"
733,i,get,"[to, do, something]"
734,i,lose,[one]
735,i,get,[calls]
736,you,make,[change]
737,i,look,"[to, see, what, is, shaping, the, person, 's, ability, to, contribute, ,, to, do, something, beyond, themselves]"
738,what,shape,[ability]
739,everyone,master,[which]
740,you,take,[invisible]
741,we,know,[rules]
742,you,write,[code]
743,you,get,[results]
744,you,know,[game]
745,i,have,[laboratory]
746,you,give,[everything]
747,you,not,"[dollar, computer]"
748,you,give,"[love, joy]"
749,you,know,[some]
750,that,contribute,[most]
751,we,get,"[to, ask, ourselves]"
752,that,shape,[us]
753,most,do,[that]
754,you,buy,[that]
755,past,equal,[future]
756,we,know,[what]
757,we,have,[what]
758,you,know,[something]
759,you,use,[it]
760,you,apply,[it]
761,we,get,"[to, remind, ourselves, that, decision, is, the, ultimate, power]"
762,you,ask,[people]
763,you,fail,"[to, achieve, something, significant, in, your, life]"
764,you,ask,[people]
765,you,achieve,[something]
766,you,fail,"[to, achieve]"
767,they,tell,[you]
768,i,have,[manager]
769,what,do,[those]
770,you,have,[money]
771,you,correct,[me]
772,i,mean,[what]
773,you,have,"[emotion, emotion, something]"
774,i,experience,[that]
775,you,beat,[ass]
776,me,tell,[him]
777,he,do,[what]
778,we,watch,[debate]
779,that,block,[ability]
780,i,know,[people]
781,that,want,"[to, vote, in, your, direction]"
782,we,get,[emotion]
783,we,get,[ourselves]
784,you,get,[way]
785,you,have,[money]
786,you,find,[way]
787,people,tell,[us]
788,they,tell,[bunch]
789,they,tell,[us]
790,we,have,[resources]
791,you,take,[look]
792,they,accomplish,[that]
793,he,break,[pattern]
794,i,appreciate,[energy]
795,i,tell,[that]
796,what,determine,[resources]
797,we,say,"[shape, destiny]"
798,decisions,shape,[destiny]
799,you,have,"[to, decide, what, you, 're, going, to, focus, on]"
800,you,go,"[what, to, focus, on]"
801,you,decide,"[to, focus]"
802,you,give,[meaning]
803,meaning,produce,[emotion]
804,god,punish,[me]
805,god,reward,[me]
806,we,go,"[what, to, do]"
807,that,shape,[destiny]
808,you,make,[decision]
809,you,meet,[love]
810,i,know,"[google, geniuses]"
811,they,make,[decision]
812,she,affect,[life]
813,decision,shape,[culture]
814,you,get,[cancer]
815,you,ride,[bike]
816,you,get,[it]
817,you,get,[it]
818,it,mean,[what]
819,he,go,[championships]
820,he,win,[championships]
821,he,get,[strength]
822,i,see,[that]
823,i,have,[people]
824,what,shape,[lance]
825,what,shape,[you]
826,we,have,[times]
827,you,do,[something]
828,you,think,[something]
829,i,say,[that]
830,i,do,[that]
831,you,do,[something]
832,what,shape,[us]
833,people,make,[decisions]
834,we,need,"[to, know, what, already, influences, them]"
835,what,influence,[them]
836,you,get,"[desires, goals]"
837,who,get,"[goal, desire, thought]"
838,you,know,[it]
839,that,drive,[you]
840,you,uncover,[it]
841,you,form,[it]
842,that,tell,[you]
843,me,tell,[you]
844,everyone,need,[certainty]
845,they,avoid,[pain]
846,you,get,[it]
847,we,need,[that]
848,we,get,[certainty]
849,we,get,[what]
850,you,feel,[what]
851,you,feel,[what]
852,god,give,[need]
853,we,need,[variety]
854,we,need,[surprise]
855,you,call,[problems]
856,you,need,[them]
857,you,rent,"[video, film]"
858,you,see,[that]
859,who,do,[this]
860,you,do,[it]
861,you,read,[it]
862,you,saw,[it]
863,we,need,"[to, feel, important, ,, special, ,, unique]"
864,you,get,[it]
865,you,do,[it]
866,you,put,"[tattoos, earrings]"
867,humans,want,"[to, know]"
868,it,take,[whatever]
869,you,have,[background]
870,i,put,[gun]
871,i,live,[gun]
872,you,go,"[to, respond, to, me]"
873,what,go,"[to, happen, next]"
