,subject,verb,object,TalkID
644,i,try,"[to, make, something, out, of, it]",46
645,encore,call,"[jack, fina]",46
646,i,go,"[that, to, play]",46
647,this,have,"[what, to, do, with, technology, ,, entertainment, and, design]",45
648,i,count,"[ipod, cellphone, computer]",45
649,this,have,[nothing],45
650,i,do,[research],45
651,i,find,[what],45
652,i,memorize,[it],45
653,it,vibrate,[wave],45
654,it,produce,[wave],45
655,that,change,[frequency],45
656,i,call,[it],45
657,i,find,[that],45
658,i,love,[design],45
659,mom,ask,[me],45
660,you,like,"[to, play, the, violin, or, the, piano]",45
661,i,go,"[to, lock, myself, on, that, bench, the, whole, day]",45
662,you,know,[what],45
663,i,want,"[to, practice]",45
664,i,hide,[it],45
665,people,relate,[it],45
666,you,like,[it],45
667,violins,sound,[same],45
668,i,love,[entertainment],45
669,i,get,[violin],45
670,i,try,"[to, play, around, on, it]",45
671,i,hear,[joke],45
672,lady,come,[him],45
673,lady,compliment,[him],45
674,he,pick,[violin],45
675,i,hear,[anything],45
676,beings,change,"[century, technology, design]",45
677,i,think,[more],45
678,i,go,"[to, be, here, to, perform]",45
679,i,learn,[more],45
680,i,enjoy,[more],45
681,i,like,"[to, say, this, for, all, children]",45
682,i,like,"[to, tell, you, the, tale, of, one, of, my, favorite, projects]",2
683,that,have,[potential],2
684,it,address,[one],2
685,it,breathe,[smoke],2
686,you,believe,[that],2
687,i,find,"[shocking, appalling]",2
688,we,make,[fuels],2
689,we,make,[stoves],2
690,i,go,"[to, talk, to, you, about, the, wonders, of, carbon, macro, -, tubes, ,, which, is, charcoal]",2
691,you,see,[scenes],2
692,that,affect,[people],2
693,people,need,"[to, cook]",2
694,they,harvest,[wood],2
695,they,make,[charcoal],2
696,they,know,[choice],2
697,they,have,[choice],2
698,energy,cook,[way],2
699,they,like,[food],2
700,they,do,[what],2
701,you,find,[families],2
702,you,cut,[it],2
703,you,make,[charcoal],2
704,i,take,[team],2
705,we,work,[team],2
706,he,build,[that],2
707,you,take,"[waste, paper]",2
708,you,compress,[it],2
709,you,make,[briquettes],2
710,they,take,[briquettes],2
711,they,test,[them],2
712,they,find,[that],2
713,it,say,"[us, peace, corps]",2
714,we,want,"[what, to, do]",2
715,we,want,"[to, make, a, fuel, that, used, something, that, was, readily, available, on, the, local, level]",2
716,that,use,[something],2
717,you,see,[haiti],2
718,you,extract,[juice],2
719,it,have,[use],2
720,it,have,[value],2
721,they,fee,[it],2
722,they,burn,[it],2
723,we,want,"[what, to, do]",2
724,we,want,"[to, find, a, way, to, harness, this, waste, resource, and, turn, it, into, a, fuel, that, would, be, something, that, people, could, easily, cook, with, ,, something, like, charcoal]",2
725,i,work,"[to, develop, a, process]",2
726,you,start,[kiln],2
727,you,take,[kiln],2
728,you,make,[that],2
729,you,seal,[it],2
730,you,end,[it],2
731,you,burn,[this],2
732,it,burn,"[to, be, useful, for, cooking]",2
733,we,have,"[to, try, to, find, a, way, to, form, it, into, useful, briquettes]",2
734,he,remember,[dish],2
735,mom,use,"[to, make, for, him]",2
736,you,make,[porridge],2
737,you,use,"[which, to, bind, together, the, charcoal, briquettes]",2
738,we,do,[this],2
739,we,make,[that],2
740,i,go,"[to, take, you, to, a, different, continent]",2
741,this,produce,[fires],2
742,you,see,"[health, impacts]",2
743,women,affect,[it],2
744,we,want,"[to, see, if, we, could, introduce, this, charcoal, -, making, technology, there]",2
745,we,introduce,[technology],2
746,they,have,[cassava],2
747,that,stop,[us],2
748,we,use,[what],2
749,they,use,[which],2
750,we,do,[tests],2
751,you,see,"[charcoal, briquettes]",2
752,it,heat,[water],2
753,we,find,[that],2
754,we,do,[comparisons],2
755,briquettes,crumble,[energy],2
756,we,lose,[energy],2
757,we,want,"[to, try, to, find, a, way, to, make, a, stronger, briquette, so, that, we, could, compete, with, wood, charcoal, in, the, markets, in, haiti]",2
758,we,take,"[instron, machine]",2
759,we,figure,[sort],2
760,you,get,[performance],2
761,we,develop,"[cost, press]",2
762,you,produce,[charcoal],2
763,it,burn,"[cost, press]",2
764,we,have,[product],2
765,you,buy,[what],2
766,this,implement,[portion],2
767,this,save,[portion],2
768,i,have,[friend],2
769,who,do,"[risk, analysis]",2
770,you,prevent,[deaths],2
771,we,have,[way],2
772,that,use,"[waste, material]",2
773,i,take,[that],2
774,you,saw,[what],2
775,you,imagine,[thing],2
776,you,need,"[to, form, briquettes]",2
777,i,bring,[samples],2
778,we,pass,[these],2
779,i,think,[one],2
780,we,have,"[to, teach, people, how, to, form, it, into, briquettes]",2
781,you,have,[step],2
782,you,see,[it],2
783,you,have,"[health, benefits]",2
784,you,have,[benefits],2
785,you,have,[benefits],2
786,people,make,"[cooking, fuel]",2
787,they,generate,[income],2
788,they,save,[money],2
789,they,go,"[that, to, spend, on, charcoal]",2
790,they,produce,[excess],2
791,they,sell,[it],2
792,who,make,[own],2
793,you,have,"[trade, offs]",2
794,i,find,[that],2
795,it,take,[us],2
796,i,mean,[world],2
797,i,mean,[world],2
798,women,spend,[hours],2
799,i,mean,[world],2
800,materials,mean,"[roofing, tiles]",2
801,that,make,[hand],2
802,you,earn,[dollars],2
803,i,mean,[world],2
804,children,spend,[hours],2
805,three,have,[car],2
806,100,have,"[aids, hiv]",2
807,we,need,"[that, to, come, up, with, solutions, for]",2
808,we,need,"[that, to, be, training, our, engineers, ,, our, designers, ,, our, business, people, ,, our, entrepreneurs, to, be, facing]",2
809,we,need,"[that, to, find]",2
810,i,have,[areas],2
811,one,create,[technologies],2
812,people,find,[way],2
813,they,do,[it],2
814,they,make,[that],2
815,we,need,"[to, create, technologies, for, poor, farmers, to, add, value, to, their, own, crops]",2
816,we,need,"[to, rethink, our, development, strategies]",2
817,we,promote,[campaigns],2
818,them,stop,"[being, farmers]",2
819,we,stop,"[being, poor, farmers]",2
820,we,need,"[to, think, about, how, we, can, do, that, effectively]",2
821,we,need,"[to, work, with, the, people, in, these, communities, and, give, them, the, resources, and, the, tools, that, they, need, to, solve, their, own, problems]",2
822,they,need,"[that, to, solve, their, own, problems]",2
823,we,do,[it],2
824,we,need,"[to, create, this, future]",2
825,we,need,"[to, start, doing, it, now]",2
826,someone,have,[question],2
827,communities,maintain,"[water, systems]",2
828,they,treat,[them],2
829,one,look,[ability],2
830,one,improve,[ability],2
831,you,need,"[to, find, entrepreneurs, ,, or, venture, capitalists]",2
832,you,need,[what],2
833,you,get,[what],2
834,you,use,[models],2
835,you,use,[that],2
836,we,have,[students],2
837,you,have,"[to, do, things, with, a, long, time, frame, ,]",2
838,you,expect,"[to, get, something, done, in, a, year, or, two, years]",2
839,you,have,"[to, be, looking, five, or, 10, years, ahead]",2
840,vision,do,[that],2
