term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5844219632572545e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.3268079297614246e-05,1.2319443161169115e-05
13th,0.0,0.0,1.2534155573938984e-05,0.0,9.491898664489859e-06,0.0,0.0,7.922109816286273e-06,0.0,0.0,1.006876969703072e-05,0.0,0.0,0.0,0.0,0.0
14,4.1009938074993504e-05,3.5277931302108444e-05,0.00011280740016545086,0.00011089492202070711,2.8475695993469574e-05,8.256584626239426e-05,7.878427115795371e-05,7.922109816286273e-05,0.0,8.37065249236178e-05,0.00011075646666733792,8.663054435483871e-05,0.00010277069801858094,6.587374199451052e-05,7.756026432538082e-05,8.62361021281838e-05
140,0.0,0.0,1.2534155573938984e-05,0.0,9.491898664489859e-06,4.5035916143124144e-05,0.0,1.5844219632572545e-05,8.158270446665307e-06,3.348260996944712e-05,3.020630909109216e-05,0.0,6.851379867905396e-06,7.319304666056724e-06,1.5512052865076164e-05,1.8479164741753673e-05
1400s,0.0,1.1759310434036149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006876969703072e-05,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,8.753807906439301e-06,0.0,0.0,0.0,0.0,0.0,6.851379867905396e-06,0.0,7.756026432538082e-06,6.159721580584557e-06
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.851379867905396e-06,0.0,0.0,6.159721580584557e-06
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6316540893330614e-05,0.0,0.0,0.0,0.0,0.0,7.756026432538082e-06,0.0
1450,0.0,1.1759310434036149e-05,0.0,1.008135654733701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,7.875504032258064e-06,0.0,0.0,7.756026432538082e-06,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,7.875504032258064e-06,0.0,0.0,0.0,0.0
14th,2.7339958716662336e-05,0.0,0.0,0.0,1.8983797328979717e-05,0.0,0.0,7.922109816286273e-06,0.0,0.0,2.013753939406144e-05,0.0,0.0,0.0,0.0,6.159721580584557e-06
15,0.00016403975229997402,0.00021166758781265068,0.00027575142262665765,0.00022178984404141422,0.00015187037863183774,0.0001951556366202046,0.00017507615812878603,0.0001505200865094392,8.974097491331837e-05,8.37065249236178e-05,0.00023158170303170654,0.00025201612903225806,0.00012332483762229714,0.0002854528819762123,0.0003490211894642137,0.00014167359635344483
150,5.467991743332467e-05,5.879655217018074e-05,3.760246672181695e-05,6.048813928402206e-05,1.8983797328979717e-05,4.5035916143124144e-05,4.376903953219651e-05,5.545476871400391e-05,0.0001223740566999796,4.18532624618089e-05,5.03438484851536e-05,0.0001102570564516129,4.1108279207432375e-05,5.123513266239707e-05,4.653615859522849e-05,3.079860790292279e-05
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5844219632572545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2319443161169115e-05
151,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,7.922109816286273e-06,8.158270446665307e-06,0.0,0.0,0.0,6.851379867905396e-06,0.0,0.0,0.0
1543,0.0,0.0,1.2534155573938984e-05,0.0,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,1.2534155573938984e-05,1.008135654733701e-05,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,2.3626512096774193e-05,0.0,0.0,7.756026432538082e-06,0.0
15th,0.0,1.1759310434036149e-05,1.2534155573938984e-05,1.008135654733701e-05,9.491898664489859e-06,7.505986023854024e-06,0.0,0.0,8.158270446665307e-06,0.0,0.0,0.0,6.851379867905396e-06,0.0,0.0,0.0
16,4.1009938074993504e-05,9.407448347228919e-05,1.2534155573938984e-05,6.048813928402206e-05,5.695139198693915e-05,0.00010508380433395633,8.753807906439301e-05,4.753265889771764e-05,5.710789312665715e-05,0.00013393043987778848,3.020630909109216e-05,4.7253024193548386e-05,6.851379867905396e-05,4.391582799634035e-05,6.980423789284274e-05,1.8479164741753673e-05
160,2.7339958716662336e-05,0.0,0.0,0.0,0.0,7.505986023854024e-06,8.753807906439301e-06,0.0,8.158270446665307e-06,8.37065249236178e-06,2.013753939406144e-05,1.575100806451613e-05,0.0,0.0,7.756026432538082e-06,6.159721580584557e-06
1600,0.0,1.1759310434036149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006876969703072e-05,7.875504032258064e-06,0.0,0.0,0.0,0.0
1600s,0.0,0.0,1.2534155573938984e-05,1.008135654733701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,2.016271309467402e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875504032258064e-06,0.0,7.319304666056724e-06,7.756026432538082e-06,0.0
165,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159721580584557e-06
16th,0.0,0.0,2.506831114787797e-05,1.008135654733701e-05,1.8983797328979717e-05,7.505986023854024e-06,0.0,0.0,0.0,0.0,3.020630909109216e-05,0.0,0.0,0.0,0.0,6.159721580584557e-06
17,0.0,5.879655217018074e-05,3.760246672181695e-05,7.056949583135907e-05,5.695139198693915e-05,2.2517958071562072e-05,8.753807906439301e-05,4.753265889771764e-05,4.894962267999184e-05,2.511195747708534e-05,5.03438484851536e-05,4.7253024193548386e-05,0.00011647345775439173,5.8554437328453794e-05,5.4292185027766574e-05,4.31180510640919e-05
170,0.0,0.0,0.0,1.008135654733701e-05,0.0,0.0,1.7507615812878603e-05,1.5844219632572545e-05,0.0,0.0,0.0,7.875504032258064e-06,0.0,0.0,0.0,0.0
1700s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875504032258064e-06,0.0,1.4638609332113449e-05,0.0,0.0
174,0.0,0.0,0.0,0.0,9.491898664489859e-06,7.505986023854024e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,1.2534155573938984e-05,0.0,9.491898664489859e-06,0.0,1.7507615812878603e-05,0.0,0.0,0.0,1.006876969703072e-05,7.875504032258064e-06,0.0,1.4638609332113449e-05,7.756026432538082e-06,6.159721580584557e-06
1759,0.0,0.0,0.0,0.0,0.0,7.505986023854024e-06,0.0,7.922109816286273e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159721580584557e-06
1788,0.0,1.1759310434036149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159721580584557e-06
17th,0.0001366997935833117,1.1759310434036149e-05,1.2534155573938984e-05,1.008135654733701e-05,0.0,7.505986023854024e-06,1.7507615812878603e-05,2.376632944885882e-05,0.0,2.511195747708534e-05,2.013753939406144e-05,0.0,6.851379867905396e-06,0.0,0.0,1.8479164741753673e-05
18,5.467991743332467e-05,5.879655217018074e-05,3.760246672181695e-05,0.0001008135654733701,0.000132886581302858,0.00015011972047708047,0.00014006092650302882,8.7143207979149e-05,0.00013053232714664491,0.00011718913489306492,9.061892727327648e-05,0.00010238155241935484,0.00011647345775439173,0.0001463860933211345,0.00010082834362299507,5.5437494225261015e-05
180,1.3669979358331168e-05,1.1759310434036149e-05,1.2534155573938984e-05,2.016271309467402e-05,9.491898664489859e-06,7.505986023854024e-06,8.753807906439301e-06,7.922109816286273e-06,1.6316540893330614e-05,0.0,1.006876969703072e-05,1.575100806451613e-05,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,2.016271309467402e-05,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,7.875504032258064e-06,0.0,0.0,0.0,6.159721580584557e-06
