,doc,subject,verb,object
455,2,you,need,[ma]
456,2,job,required,[ba]
457,2,you,need,[phd]
458,2,we,need,"[to, radically, rethink, our, view, of, intelligence]"
459,2,we,know,[things]
460,2,we,experience,[it]
461,2,i,define,[which]
462,2,that,have,[value]
463,2,that,joins,[halves]
464,2,i,'s,[it]
465,2,i,know,[it]
466,2,wife,cooking,[meal]
467,2,she,painting,[ceiling]
468,2,she,doing,"[heart, surgery]"
469,2,i,trying,"[to, fry, an, egg, in, here]"
470,2,laughter,give,[break]
471,2,you,know,[thing]
472,2,tree,falls,[it]
473,2,nobody,hears,[it]
474,2,i,saw,"[t, shirt]"
475,2,man,speaks,[mind]
476,2,woman,hears,[him]
477,2,i,doing,[book]
478,2,they,discovered,[talent]
479,2,people,got,"[to, be, there]"
480,2,it,prompted,[conversation]
481,2,everybody,knows,[work]
482,2,i,used,"[to, be, on, the, board, of, the, royal, ballet, ,]"
483,2,i,had,[lunch]
484,2,i,said,[lunch]
485,2,you,get,"[to, be, a, dancer]"
486,2,gillian,has,"[learning, disorder]"
487,2,she,had,[adhd]
488,2,they,have,[that]
489,2,she,disturbing,[people]
490,2,mother,told,[me]
491,2,i,need,"[to, speak, to, her, privately]"
492,2,they,went,[her]
493,2,they,left,[her]
494,2,he,turned,[radio]
495,2,he,said,"[just, stand, and, watch, her]"
496,2,they,left,[room]
497,2,i,tell,[you]
498,2,who,had,"[to, move, to, think]"
499,2,who,had,"[to, move, to, think]"
500,2,they,ballet,[contemporary]
501,2,they,did,[tap]
502,2,they,did,[contemporary]
503,2,she,had,[career]
504,2,she,graduated,"[gillian, dance, company, andrew, lloyd, webber]"
505,2,she,founded,"[gillian, dance, company]"
506,2,she,met,"[andrew, lloyd, webber]"
507,2,she,given,[pleasure]
508,2,somebody,put,[her]
509,2,somebody,told,[her]
510,2,it,comes,[what]
511,2,gore,spoke,[night]
512,2,that,triggered,"[rachel, carson]"
513,2,we,start,"[to, reconstitute, our, conception, of, the, richness, of, human, capacity]"
514,2,system,mined,[minds]
515,2,strip,mine,[earth]
516,2,it,serve,[us]
517,2,we,have,"[to, rethink, the, fundamental, principles, on, which, we, 're, educating, our, children]"
518,2,we,educating,[children]
519,2,we,have,"[to, be, careful, now, that, we, use, this, gift, wisely, and, that, we, avert, some, of, the, scenarios, that, we, 've, talked, about]"
520,2,we,use,[gift]
521,2,we,avert,[some]
522,2,we,do,[it]
523,2,they,face,[future]
524,2,we,see,[future]
525,2,them,make,[something]
526,3,i,took,[task]
527,3,you,get,[opportunity]
528,3,students,have,[grade]
529,3,they,know,[everything]
