,doc,subject,verb,object
421,722,i,want,"[to, get, access, to, al, jazeera, ,, george, bush, 's, favorite, channel, ,, and, a, place, which, i, was, very, curious, about, because, it, 's, disliked, by, many, governments, across, the, arab, world, ,]"
422,722,it,dislike,[governments]
423,722,i,call,[mouthpiece]
424,722,i,think,"[to, be, doing, something, right]"
425,722,station,have,"[to, be, doing, something, right]"
426,722,that,hat,[people]
427,722,i,get,"[to, go, see, what, this, is, all, about]"
428,722,i,want,"[to, go, see, central, command, ,, which, was, 10, minutes, away]"
429,722,i,get,[access]
430,722,i,go,[people]
431,722,i,sit,[people]
432,722,i,meet,[people]
433,722,i,meet,[people]
434,722,i,like,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody]"
435,722,you,film,[them]
436,722,you,listen,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody, them]"
437,722,you,allow,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody, them]"
438,722,i,offer,[job]
439,722,i,take,[it]
440,722,i,have,[dream]
441,722,i,have,[plans]
442,722,they,finish,[school]
443,722,i,send,[them]
444,722,they,show,"[pows, soldiers]"
445,722,jazeera,show,[them]
446,722,america,show,[kinds]
447,722,most,show,"[gory, images]"
448,722,this,show,[soldiers]
449,722,what,hit,[me]
450,722,jazeera,show,[images]
451,722,i,remember,"[having, seen, it, in, the, al, jazeera, office]"
452,722,it,affect,[me]
453,722,i,saw,[people]
454,722,people,felt,[way]
455,722,it,upset,[me]
456,722,me,hate,[war]
457,722,we,have,[funding]
458,722,we,show,[film]
459,722,we,have,[reactions]
460,722,people,move,[film]
461,722,i,show,[film]
462,722,people,want,"[to, meet, josh]"
463,722,he,redefine,[us]
464,722,people,start,"[to, ask, me, ,, "", where, is, this, guy, now]"
465,722,jazeera,offer,[job]
466,722,it,bring,[complexities]
467,722,world,have,[that]
468,722,i,blow,[motivations]
469,722,they,see,[film]
470,722,we,feel,[power]
471,722,we,need,[to]
472,722,we,have,"[to, get, the, power, to, change, things]"
473,722,i,saw,[this]
474,722,i,saw,[anger]
475,722,you,understand,[anger]
476,722,you,see,"[people, victims]"
477,722,we,get,[anger]
478,722,person,think,[what]
479,722,film,change,[world]
480,722,i,know,[power]
481,722,it,start,[people]
482,722,film,speak,[you]
483,722,film,take,[you]
484,722,film,have,[ability]
485,722,clips,take,[you]
486,722,someone,make,[sacrifice]
487,722,we,have,[airplanes]
488,722,we,need,[martyrs]
489,722,we,have,[paradise]
490,722,god,forgive,[you]
491,722,i,have,[paradise]
492,722,one,choose,[bitterness]
493,722,we,win,[way]
494,722,you,do,[what]
495,722,you,give,[alibi]
496,722,we,have,"[to, turn, it, into, a, moral, war]"
497,722,israel,have,[morals]
498,722,ayelet,call,[me]
499,722,you,know,[what]
500,722,we,have,[information]
501,722,bethlehem,occupy,[territories]
502,722,they,open,[fire]
503,722,i,have,[assistants]
504,722,george,join,[forum]
505,722,i,find,[reason]
506,722,that,touch,[me]
507,722,who,suffer,[lot]
508,722,who,lose,[children]
509,722,we,communicate,[that]
510,722,you,give,[speech]
511,722,i,tell,[you]
512,722,you,finish,[song]
513,722,who,put,[tools]
514,722,who,demand,[freedom]
515,722,i,think,[feeling]
516,722,everybody,have,[feeling]
517,722,they,felt,[feeling]
518,722,i,like,[what]
519,722,we,use,[feeling]
520,722,we,have,[appreciation]
521,722,they,have,[appreciation]
522,722,rushing,end,"[leaving, the, military, and, taking, a, job, with, al, jazeera]"
523,722,he,use,[media]
524,722,i,try,"[to, think, about, ways, to, give, power, to, these, independent, voices, ,, to, give, power, to, the, filmmakers, ,, to, give, power, to, people, who, are, trying, to, use, film, for, change]"
525,722,who,try,"[to, use, film, for, change]"
526,722,you,hear,[that]
527,722,who,work,"[process, interviews, film]"
528,722,who,document,[process]
529,722,who,get,[interviews]
530,722,who,use,[film]
531,722,i,watch,[it]
532,722,i,blow,"[it, potential, to, bring, voices, from, around, the, world]"
533,722,i,create,[television]
534,722,we,do,[what]
535,722,you,have,"[towns, villages, theaters]"
536,722,",",make,[joke]
537,722,which,highlight,[character]
538,722,that,fight,"[to, live]"
539,722,that,defy,[stereotypes]
540,722,",",sing,[song]
541,722,power,use,"[to, change, people, and, to, bond, people, together, to, cross, borders, ,, and, have, people, feel, like, they, 're, having, a, communal, experience]"
542,722,they,have,[experience]
543,722,you,have,"[theaters, places]"
544,722,we,project,[films]
545,722,you,imagine,"[projecting, from, times, square, to, tahrir, square, in, cairo]"
546,722,you,imagine,[what]
547,722,you,project,[films]
548,722,you,have,[experience]
549,722,we,create,[it]
550,722,day,create,[momentum]
551,722,which,connect,[voices]
552,722,challenge,understand,[other]
553,722,challenge,have,[respect]
554,722,film,do,[that]
555,722,we,get,[all]
556,722,we,make,[partnership]
557,722,who,introduce,[me]
558,722,we,start,"[calling, up, everybody]"
559,722,that,want,"[to, be, a, part, of, this, global, day, of, film]"
560,722,we,think,"[to, share, this, with, you]"
561,722,i,like,"[to, share, this, with, you]"
562,722,part,share,"[ideas, wishes]"
563,722,i,invite,[you]
564,722,we,use,[technology]
565,722,we,build,[community]
566,722,we,call,"[landmass, pangea]"
567,722,we,like,[what]
568,722,we,make,[movement]
569,722,i,know,"[how, to, do, it]"
570,722,i,know,[that]
571,722,i,suppose,"[to, give, you, my, one, -, sentence, wish]"
572,723,applause,thank,[you]
573,723,i,know,"[what, to, say]"
574,723,anderson,invite,[me]
575,723,i,get,[chance]
576,723,i,play,[that]
577,723,i,have,[piece]
578,723,i,like,"[that, to, play, for, you]"
579,723,it,call,"[robert, schumann]"
580,723,he,write,[that]
581,723,laughter,suppose,"[to, be, five, variations, on, this, abegg, theme]"
582,723,you,like,[it]
583,723,applause,come,[part]
584,723,i,hate,[that]
585,723,anderson,tell,"[me, laughter]"
586,723,i,know,[what]
587,723,i,know,"[where, to, start]"
588,723,yamaha,do,[job]
589,723,i,make,[lot]
590,723,i,choose,[one]
591,723,you,hear,[that]
592,723,i,choose,[theme]
593,723,i,have,"[to, decide, :]"
594,723,i,want,[kind]
595,723,i,compose,[style]
596,723,i,make,[structure]
597,723,me,plan,[piece]
598,723,part,fill,[it]
599,723,you,have,"[to, think]"
600,723,laughter,excuse,"[me, form]"
601,723,you,suppose,"[to, actually, polish, the, piece]"
602,723,you,polish,[details]
603,723,you,polish,[performance]
604,723,i,do,[that]
605,723,i,like,"[to, draw]"
606,723,i,realize,[it]
607,723,you,want,"[to, decide, who, you, want, to, draw]"
608,723,you,want,"[who, to, draw]"
609,723,you,want,"[to, draw, an, original, character]"
610,723,you,want,"[to, decide, :, how, are, you, going, to, draw, the, character]"
611,723,you,go,"[to, draw, the, character]"
612,723,i,go,"[to, use, one, page]"
613,723,i,go,"[to, draw, it, on, the, computer]"
614,723,i,go,"[to, use, a, two, -, page, spread, like, a, comic, book]"
615,723,you,have,"[to, do, the, initial, sketch, of, the, character, ,, which, is, like, your, structure, of, a, piece]"
616,723,you,add,"[pen, pencil]"
617,723,that,polish,[drawing]
618,723,both,have,[that]
619,723,i,try,"[to, do, homework]"
620,723,i,try,"[to, draw]"
621,723,i,waste,[time]
622,723,you,suppose,"[what, to, do]"
623,723,you,manage,"[to, use, your, time, wisely, and, work, on, it]"
624,723,you,get,[something]
625,723,it,come,[something]
626,723,i,consider,[what]
627,723,you,feel,[anything]
628,723,you,do,[anything]
629,723,i,go,"[to, play, my, own, composition, today]"
630,723,i,finish,[it]
631,723,i,like,"[to, try, something, called, "", improvisation]"
632,723,i,have,"[note, cards]"
633,723,i,like,[someone]
634,723,anyone,come,"[five, it, it]"
635,723,anyone,choose,[five]
636,723,i,make,[it]
637,723,i,improvise,[it]
638,723,you,mind,"[reading, them, out, in, the, order, that, you, chose, them]"
639,723,you,choose,[them]
640,723,i,use,[them]
641,723,she,choose,"[c, g, b, a]"
642,723,i,go,"[to, try, to, put, that, in, some, sort, of, order]"
643,723,i,go,"[to, have, a, moment, to, think]"
644,723,i,try,"[to, make, something, out, of, it]"
645,723,encore,call,"[jack, fina]"
646,723,i,go,"[that, to, play]"
647,724,this,have,"[what, to, do, with, technology, ,, entertainment, and, design]"
648,724,i,count,"[ipod, cellphone, computer]"
649,724,this,have,[nothing]
650,724,i,do,[research]
651,724,i,find,[what]
652,724,i,memorize,[it]
653,724,it,vibrate,[wave]
654,724,it,produce,[wave]
655,724,that,change,[frequency]
656,724,i,call,[it]
657,724,i,find,[that]
658,724,i,love,[design]
659,724,mom,ask,[me]
660,724,you,like,"[to, play, the, violin, or, the, piano]"
661,724,i,go,"[to, lock, myself, on, that, bench, the, whole, day]"
662,724,you,know,[what]
663,724,i,want,"[to, practice]"
664,724,i,hide,[it]
665,724,people,relate,[it]
666,724,you,like,[it]
667,724,violins,sound,[same]
668,724,i,love,[entertainment]
669,724,i,get,[violin]
670,724,i,try,"[to, play, around, on, it]"
671,724,i,hear,[joke]
672,724,lady,come,[him]
673,724,lady,compliment,[him]
674,724,he,pick,[violin]
675,724,i,hear,[anything]
676,724,beings,change,"[century, technology, design]"
677,724,i,think,[more]
678,724,i,go,"[to, be, here, to, perform]"
679,724,i,learn,[more]
680,724,i,enjoy,[more]
681,724,i,like,"[to, say, this, for, all, children]"
682,725,i,like,"[to, tell, you, the, tale, of, one, of, my, favorite, projects]"
683,725,that,have,[potential]
684,725,it,address,[one]
685,725,it,breathe,[smoke]
686,725,you,believe,[that]
687,725,i,find,"[shocking, appalling]"
688,725,we,make,[fuels]
689,725,we,make,[stoves]
690,725,i,go,"[to, talk, to, you, about, the, wonders, of, carbon, macro, -, tubes, ,, which, is, charcoal]"
691,725,you,see,[scenes]
692,725,that,affect,[people]
693,725,people,need,"[to, cook]"
694,725,they,harvest,[wood]
695,725,they,make,[charcoal]
696,725,they,know,[choice]
697,725,they,have,[choice]
698,725,energy,cook,[way]
699,725,they,like,[food]
700,725,they,do,[what]
701,725,you,find,[families]
702,725,you,cut,[it]
703,725,you,make,[charcoal]
704,725,i,take,[team]
705,725,we,work,[team]
706,725,he,build,[that]
707,725,you,take,"[waste, paper]"
708,725,you,compress,[it]
709,725,you,make,[briquettes]
710,725,they,take,[briquettes]
711,725,they,test,[them]
712,725,they,find,[that]
713,725,it,say,"[us, peace, corps]"
714,725,we,want,"[what, to, do]"
715,725,we,want,"[to, make, a, fuel, that, used, something, that, was, readily, available, on, the, local, level]"
716,725,that,use,[something]
717,725,you,see,[haiti]
718,725,you,extract,[juice]
719,725,it,have,[use]
720,725,it,have,[value]
721,725,they,fee,[it]
722,725,they,burn,[it]
723,725,we,want,"[what, to, do]"
724,725,we,want,"[to, find, a, way, to, harness, this, waste, resource, and, turn, it, into, a, fuel, that, would, be, something, that, people, could, easily, cook, with, ,, something, like, charcoal]"
