term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
25th,0,0,0,1,0,0,0,2,0,4,0,0,4,0,0,0
26,4,1,1,4,2,2,1,0,6,4,0,7,0,1,4,3
260,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
267,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26th,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1,3,3,7,4,2,5,3,7,2,0,3,2,5,2,5
270,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
271,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
275,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27th,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,1,1,0,3,6,4,1,2,3,1,1,4,3,2,3,4
28th,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
29,0,0,0,0,5,3,1,1,1,0,0,1,1,2,3,1
29th,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
2d,0,0,0,0,6,0,0,0,3,0,0,1,0,3,7,0
30,12,17,22,24,28,34,20,33,35,44,25,42,42,24,28,29
300,5,8,10,6,7,6,17,8,8,2,6,9,7,2,9,6
30s,2,1,0,0,1,2,2,0,1,1,1,3,0,3,1,1
30th,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,0,1,0,2,2,2,0,0,1,1,1,3,1,0,1,2
311,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
314,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,0,0,0,2,2,7,9,4,2,0,2,6,2,2,1,3
321,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
325,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0
33,0,0,0,0,1,2,3,3,2,0,0,2,2,1,3,3
34,0,0,0,0,1,0,4,1,1,0,1,1,2,1,2,2
340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
35,1,6,2,2,3,7,4,5,4,2,2,10,5,3,2,1
350,10,0,0,1,1,3,1,5,3,0,1,4,0,0,2,2
36,2,1,1,4,2,1,2,2,5,3,3,1,0,2,2,3
360,1,0,1,1,0,3,0,0,0,1,2,0,4,2,0,1
365,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0
37,0,0,1,5,4,2,2,1,2,1,1,1,0,1,0,2
370,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
375,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
38,0,1,1,5,0,1,2,1,3,1,0,1,1,1,2,2
380,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0
39,0,1,0,0,3,0,0,0,0,0,1,2,1,1,0,0
390,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3d,1,0,0,1,10,4,4,9,10,11,4,10,30,28,11,6
3po,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,13,16,9,15,14,22,17,28,21,12,19,26,18,21,15,19
400,3,4,10,11,5,9,9,4,7,6,8,11,5,1,9,12
400th,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40s,1,2,0,1,2,1,0,1,0,1,0,1,0,1,0,1
41,0,1,0,0,2,1,0,0,1,0,1,3,0,1,0,0
414,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1,1,0,0,1,1,4,3,0,1,1,2,9,2,2,2
420,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0
43,2,1,0,2,2,2,0,1,3,2,0,1,1,1,1,0
430,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,1,1,0,2,3,2,0,2,3,0,6,0,0
440,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,0,1,5,7,8,5,6,3,5,1,3,7,7,4,3,1
450,2,1,1,0,0,0,5,0,1,0,1,0,0,1,2,2
46,0,5,0,0,1,0,0,0,1,3,1,1,3,0,2,0
47,0,2,2,2,0,2,0,5,2,0,3,1,0,5,3,2
48,0,2,1,1,2,0,4,2,3,1,0,2,1,1,1,6
49,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0
4th,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
50,19,26,20,27,17,33,22,39,34,27,22,37,22,30,31,33
500,3,11,8,17,10,17,17,9,12,12,18,4,13,17,12,16
501,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
50s,3,0,1,1,3,4,1,1,4,0,1,2,0,1,1,0
50th,0,1,0,0,0,2,0,1,1,1,0,0,1,1,1,0
51,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,3
512,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
52,0,0,0,0,0,0,0,4,0,1,2,3,1,0,2,0
529,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
53,0,1,0,1,1,1,1,1,0,0,1,1,0,0,2,1
54,0,1,1,0,1,0,0,1,1,0,0,1,5,1,2,1
540,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
55,0,5,1,0,2,4,3,1,2,1,0,0,0,0,0,5
550,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2
56,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,2
57,1,0,1,7,0,1,0,0,1,1,0,2,0,1,0,2
58,2,0,0,0,1,1,0,0,0,1,1,1,2,1,2,1
59,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0
5th,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
60,17,7,12,7,10,11,7,18,19,4,6,18,12,14,10,21
600,4,8,6,2,10,7,5,2,9,5,6,1,4,2,6,6
60s,10,3,3,3,5,4,5,4,4,1,0,2,2,3,0,4
61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
62,0,0,0,0,1,1,0,0,1,1,2,0,0,1,0,1
63,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,2
64,2,0,0,0,2,3,1,0,2,5,0,2,0,0,1,1
65,3,3,1,1,4,3,9,2,3,2,1,6,2,4,8,6
650,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0
66,0,0,2,1,0,0,1,1,0,3,0,0,1,0,3,4
665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
67,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1
68,0,0,0,2,0,0,0,2,0,1,0,1,2,3,2,1
69,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
6th,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
70,3,1,4,3,9,5,6,10,14,1,3,8,5,12,12,16
700,4,3,3,4,2,6,4,2,2,1,2,2,1,5,4,5
